name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Fernando de Noronha,10/11/2021,30,25,27,34.1,25,28.4,22.2,75.5,0,0,0,,0,0,34.6,22.3,117.7,1013.4,37,10,314,27,10,,2021-10-11T05:51:01,2021-10-11T18:01:40,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/12/2021,30,24,26.8,33.3,24,28.1,21.9,74.7,0,0,0,,0,0,39.2,25.9,126.3,1013.1,46.7,10,272.9,23.5,9,,2021-10-12T05:50:39,2021-10-12T18:01:31,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/13/2021,30,25,27.2,34.1,25,28.8,22.2,74.4,0.2,100,8.33,rain,0,0,36,24.1,116.9,1012.3,38.6,10,266.7,23.2,9,,2021-10-13T05:50:18,2021-10-13T18:01:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,10/14/2021,30,25,27.5,34.1,25,29.6,22.8,76.1,0.1,100,4.17,rain,0,0,40,27.7,125.7,1011.8,53.6,10,299.5,25.7,10,,2021-10-14T05:49:58,2021-10-14T18:01:15,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,10/15/2021,31,25,27.5,36.5,25,30,23.5,79.1,2,100,62.5,rain,0,0,45,27.7,133.9,1012.3,49.6,10,266.5,23.1,9,,2021-10-15T05:49:38,2021-10-15T18:01:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,10/16/2021,30,26,27.7,34.1,26,30,22.5,73.5,0,0,0,,0,0,44.6,27.7,137.7,1012.5,42.2,10,300.2,25.9,10,,2021-10-16T05:49:18,2021-10-16T18:01:01,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/17/2021,27,24,25.3,30.6,24,25.9,23.6,90.2,2.9,100,95.83,rain,0,0,46.4,29.5,132.1,1012.3,85.3,8.8,264,22.7,10,,2021-10-17T05:49:00,2021-10-17T18:00:54,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,10/18/2021,30,25,26.7,35.1,25,28,23.4,82.6,1.4,100,50,rain,0,0,34.6,22.3,116.9,1012.5,51.3,10,276.9,24,10,,2021-10-18T05:48:42,2021-10-18T18:00:49,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999,remote"
Fernando de Noronha,10/19/2021,30,25,27.4,35.1,25,29.6,23.4,79.4,1,100,37.5,rain,0,0,34.9,25.6,124.7,1013,41.5,10,289.5,25.1,10,,2021-10-19T05:48:24,2021-10-19T18:00:44,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,remote,82400099999"
Fernando de Noronha,10/20/2021,30,26,27.5,35.1,26,29.6,23.3,78.1,0.2,100,8.33,rain,0,0,36,24.1,116.8,1013.3,56.4,10,278.3,24.1,9,,2021-10-20T05:48:08,2021-10-20T18:00:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
